id,fecha,latitud,longitud,direccion,barrioNombre,altura,fuste,faseVital,estadoFitosanitario,inclinacion,ahuecamiento,problemaDesrames,problemaDescalzado,problemaFustePartido,problemaObjetoExtranio,problemaGrieta,problemaDesequilibrioCopa,manejoInadecuado,intervenciones,distForestalAdecuada,interf,cazuela,levantamientoVereda,observaciones,especieNombre,lugarRelevamientoNombre,tipoLugarNombre
76288,7/23/2018,-31.4195482,-64.16728355,526,Juniors,Entre 7m. y 10m.,"Entre 0,10m. y 0,40m.",Maduro,Bueno,Leve,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Algarrobo,Rio Cuarto 500-600,Calle
76289,7/23/2018,-31.41947896,-64.16727047,520,Juniors,Menor a 4m.,"Menor a 0,10m.",Maduro,Bueno,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Ciruelo de Flor,Rio Cuarto 500-600,Calle
76290,7/23/2018,-31.41943805,-64.16725036,516,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Regular,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Crespón,Rio Cuarto 500-600,Calle
76291,7/23/2018,-31.41940686,-64.16723829,516,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Regular,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Otra especie,Rio Cuarto 500-600,Calle
76292,7/23/2018,-31.41937739,-64.16722689,516,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Regular,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Otra especie,Rio Cuarto 500-600,Calle
76293,7/23/2018,-31.42139506,-64.16777641,/-698,Juniors,Entre 4m. y 7m.,"Mayor 0,40m",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,esquina con arenales,Palo Borracho,Rio Cuarto 600-700,Calle
76294,7/23/2018,-31.42129206,-64.16774388,678,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Bueno,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Siempre Verde,Rio Cuarto 600-700,Calle
76295,7/23/2018,-31.42118763,-64.16771069,660,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,TRUE,TRUE,Franja Verde,No,,Siempre Verde,Rio Cuarto 600-700,Calle
76296,7/19/2018,-31.41710389,-64.16555185,258,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,Leve,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Siempre Verde,Posadas 200-300,Calle
76297,7/23/2018,-31.42109407,-64.16768722,650,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Regular,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Fresno Americano,Rio Cuarto 600-700,Calle
76298,7/23/2018,-31.42101425,-64.16766476,646,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Decrépito,Regular,No,Severo,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Severo,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Siempre Verde,Rio Cuarto 600-700,Calle
76299,7/23/2018,-31.42091554,-64.16764464,636,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Bueno,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Otra especie,Rio Cuarto 600-700,Calle
76300,7/23/2018,-31.42073586,-64.16759703,624,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Bueno,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,FALSE,Franja Verde,No,,Siempre Verde,Rio Cuarto 600-700,Calle
76301,7/23/2018,-31.4206712,-64.16757826,618,Juniors,Entre 7m. y 10m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,FALSE,FALSE,Adecuada,No,,Siempre Verde,Rio Cuarto 600-700,Calle
76302,7/23/2018,-31.42060454,-64.16755848,618,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Bueno,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Sin intervenciones,TRUE,FALSE,Adecuada,No,,Jacarandá,Rio Cuarto 600-700,Calle
